trialJobId,default,-latency,-dram,search_k,recall,n_trees
tF9TF,-0.08471466764026218,-3.1733681758244834,-1798.4954427083333,-1,0.41055,10
oic4m,-0.12783484764205086,-0.36070022980372113,-1796.37890625,50,0.2553999999999999,10
bl18A,-0.10430857448895774,-0.4033504128456116,-1794.3408203125,100,0.31444999999999995,10
Zfy2c,-0.0819137351820204,-0.5326379140218099,-1807.6611328125,200,0.37693333333333334,10
mDdXo,-0.06448101525094775,-0.650737981001536,-1806.3564453125,300,0.4220333333333333,10
dTNrD,-0.052356439010832055,-0.8815455635388693,-1800.6533203125,400,0.4541583333333334,10
tV5Nx,-0.04276771147410072,-1.146763563156128,-1799.5983072916667,500,0.48210000000000003,10
LxUIT,-0.0318839862781101,-1.030814250310262,-1805.2552083333333,600,0.5091916666666666,10
a5iRh,-0.023230501165390022,-1.185256540775299,-1811.4332682291667,700,0.5352333333333333,10
I6Ls8,-0.015258367694218967,-1.28390771150589,-1809.728515625,800,0.55605,10
t4qap,-0.008390055940416115,-1.4129172960917156,-1812.1998697916667,900,0.5762,10
AjoBS,-0.0008751308303409158,-1.5214005907376607,-1796.3115234375,1000,0.5915500000000001,10
yeUZ5,0.018235744356579254,-2.198915263017019,-1798.9244791666667,1500,0.6512833333333333,10
dmDly,0.02911667044215734,-2.705659727255503,-1821.5533854166667,2000,0.6942166666666668,10
tZXgs,0.039319918563630867,-3.3082375725110373,-1801.7552083333333,2500,0.7232916666666668,10
Qwq9w,0.0447451701842414,-3.8128873904546103,-1804.4814453125,3000,0.74615,10
iIMda,0.05037843441433379,-4.330642064412435,-1793.82421875,3500,0.7653333333333333,10
Tnk0B,0.04991474681960214,-5.0810085733731585,-1810.587890625,4000,0.7819583333333334,10
OnW9r,0.05307233935991925,-5.463905870914459,-1802.8395182291667,4500,0.7939166666666666,10
vwE27,0.04881623927116393,-6.465478599071503,-1815.1009114583333,5000,0.8039416666666667,10
IJGHj,0.05353351675775315,-6.484401365121205,-1808.7659505208333,5500,0.8137666666666666,10
Oayfa,0.052427976570129396,-6.9983437061309814,-1819.94140625,6000,0.8232333333333334,10
NWJ1D,0.05474459415435793,-7.604032754898071,-1793.0569661458333,6500,0.8305666666666668,10
jlEvb,0.053400194561216564,-8.031775335470835,-1803.7845052083333,7000,0.8377666666666665,10
FIbZw,0.05297417824321326,-8.69649980465571,-1793.6526692708333,7500,0.8444666666666668,10
KSvix,0.047247669561174155,-9.858851869901022,-1790.490234375,8000,0.8485333333333333,10
Kevzy,0.04245175672213236,-10.29997843503952,-1820.9075520833333,8500,0.8537666666666666,10
O0lE1,0.04626873858981662,-10.443601290384928,-1802.9990234375,9000,0.8598666666666666,10
ftyHe,0.041099883350796194,-11.540867884953817,-1798.4892578125,9500,0.8637666666666668,10
zhi7k,0.03526519245147707,-12.551856279373169,-1798.7701822916667,10000,0.8660999999999999,10
QXmu4,-0.10116226500405207,-14.074490010738373,-1897.7421875,-1,0.5121666666666667,20
nIMlS,-0.13136207578765022,-0.4887878696123759,-1887.9251302083333,50,0.2826166666666666,20
mgCMG,-0.10921004702885945,-0.590699315071106,-1908.8541666666667,100,0.3468166666666666,20
QTkws,-0.08266824924257064,-0.6579223076502482,-1902.9222005208333,200,0.412275,20
qT8zp,-0.06629234742270576,-0.9240713516871134,-1906.5055338541667,300,0.4586333333333333,20
FKFQ0,-0.05180595110469394,-1.0164092977841694,-1894.70703125,400,0.49267500000000003,20
uEXnC,-0.04183236062579684,-1.0520524581273396,-1901.5647786458333,500,0.5202416666666666,20
qeV4v,-0.030211192186143654,-1.1669661204020183,-1891.564453125,600,0.5474249999999999,20
has2r,-0.024240089322196085,-1.350869874159495,-1922.1555989583333,700,0.5746916666666667,20
GbExf,-0.012674678132798942,-1.5116073290507,-1891.6578776041667,800,0.5962,20
DN3F4,-0.008283704178068377,-1.742605706055959,-1909.3199869791667,900,0.61645,20
TEJgv,-0.0043904358524746055,-1.8360462586085002,-1913.1754557291667,1000,0.6288250000000001,20
UaJkn,0.015001792183982003,-2.5894204576810202,-1898.767578125,1500,0.6844916666666667,20
x5Lty,0.02827360931714376,-2.8955885767936707,-1907.55078125,2000,0.7252000000000001,20
AbcMS,0.03207098665343391,-3.7690935333569846,-1923.4925130208333,2500,0.7538499999999999,20
mU9ng,0.03674950489150155,-4.38425459464391,-1925.8479817708333,3000,0.7761999999999999,20
zVU9b,0.0412523482078976,-5.101780672868093,-1913.6962890625,3500,0.7951999999999999,20
fbh3V,0.046816524807612094,-5.3622172474861145,-1903.2138671875,4000,0.8097500000000001,20
TJjkX,0.04600001210742528,-6.031028548876445,-1910.73828125,4500,0.8211833333333334,20
d2Rzv,0.045056871265835234,-6.596777995427449,-1915.537109375,5000,0.8297499999999999,20
cNCIb,0.04384954701847501,-7.21645059188207,-1919.4830729166667,5500,0.8385500000000001,20
v5SjO,0.033993490415149284,-9.124467114607492,-1924.53515625,6000,0.84725,20
MAUwb,0.03889696264478898,-9.125456015268961,-1910.7802734375,6500,0.8550749999999999,20
gLWC5,0.027895450294282715,-11.284415503342947,-1907.1149088541667,7000,0.8622749999999999,20
IQoYh,0.03768183852725559,-9.924720207850138,-1922.9430338541667,7500,0.8692750000000001,20
SUdNF,0.0335465479575263,-10.715802748998007,-1924.7415364583333,8000,0.8726083333333333,20
IYVzN,0.03261260313987731,-11.27845948934555,-1920.3580729166667,8500,0.8782083333333331,20
qqbg9,0.029024250898361175,-11.842817962169647,-1928.806640625,9000,0.8814416666666666,20
gCjW5,0.027212874350017967,-12.488783737023672,-1918.0973307291667,9500,0.8841416666666667,20
i47LX,0.02518363534821405,-13.046756486097971,-1914.7744140625,10000,0.8872416666666666,20
Gfo2f,-0.078270787352456,-9.143863300482431,-1991.2408854166667,-1,0.5633833333333333,30
Fm3GD,-0.1501552824783325,-2.0531108379364014,-1981.9254557291667,50,0.298175,30
mFoEM,-0.11647626161151464,-0.6655172904332479,-1990.3772786458333,100,0.362025,30
OFXNJ,-0.09154148931291368,-0.8013376394907633,-1999.2669270833333,200,0.429575,30
OGpxj,-0.07501184461911521,-0.98275226354599,-2002.572265625,300,0.47504166666666675,30
MrgWj,-0.05942416586134167,-1.0918930371602376,-1982.7516276041667,400,0.5093666666666666,30
cwXvk,-0.05307086669180127,-1.2903731067975361,-2009.4261067708333,500,0.5369416666666665,30
Tq4iN,-0.043191009289423654,-1.5931760668754578,-2006.8541666666667,600,0.5649833333333333,30
NZn3q,-0.029558589196734975,-1.629619022210439,-1986.931640625,700,0.5922833333333332,30
pEFo3,-0.024849726797739707,-1.8648196458816528,-2005.8483072916667,800,0.613225,30
bboLX,-0.01565941863483852,-1.7557225028673809,-2001.3483072916667,900,0.6324333333333333,30
XIZtO,-0.009321765977011785,-1.7487674752871196,-1995.4404296875,1000,0.6459083333333334,30
jAL0I,0.004329452197816629,-2.318510194619497,-2020.3935546875,1500,0.6961833333333333,30
FQ6xD,0.016742111298243222,-2.828176438808441,-2019.6585286458333,2000,0.7346166666666668,30
YD725,0.02395417981359693,-3.359943966070811,-2023.0299479166667,2500,0.7620750000000002,30
GDr4U,0.02825686203638712,-3.95795476436615,-2028.0618489583333,3000,0.7840416666666666,30
dOW1w,0.03304139087147184,-4.498513003190358,-2020.017578125,3500,0.8017416666666666,30
gZJmG,0.03708360312885708,-4.980864544709523,-2016.0576171875,4000,0.8178083333333334,30
kZHnv,0.037551672212812616,-5.449818412462871,-2025.5166015625,4500,0.8296333333333332,30
WXmW9,0.03678897729555764,-6.0348100066185,-2028.8108723958333,5000,0.8381,30
ulHvO,0.03858016724904378,-6.501841306686401,-2012.7421875,5500,0.8450916666666667,30
kZejK,0.03542978883319433,-6.9856152931849165,-2037.1748046875,6000,0.8527916666666666,30
YTt4C,0.03674454776128134,-7.502220988273621,-2029.5849609375,6500,0.8622833333333332,30
BYUfE,0.03505293634838528,-8.110150535901388,-2028.6057942708333,7000,0.8675166666666666,30
WPirg,0.032977632113562694,-8.49883528550466,-2038.0625,7500,0.8719833333333332,30
PQ7yK,0.03526695068783229,-8.875115950902304,-2022.015625,8000,0.8786833333333334,30
q5mRz,0.034029644607967806,-9.214907129605612,-2027.611328125,8500,0.8829500000000001,30
NVNTj,0.03255726085344949,-9.812757551670074,-2023.9313151041667,9000,0.8879750000000001,30
pA1gs,0.02914475776990255,-10.19869726896286,-2043.3759765625,9500,0.8919333333333332,30
HpDxb,0.028476362405353107,-10.725041488806406,-2032.7786458333333,10000,0.8955333333333334,30
LfYjB,-0.09410743704371982,-13.943895041942596,-2097.6588541666665,-1,0.5995416666666666,40
XhOO6,-0.15818108853975935,-1.580862820148468,-2095.1653645833335,50,0.3103833333333333,40
azlHX,-0.12419738992902968,-0.6250682671864828,-2094.5774739583335,100,0.3794916666666666,40
